seed,founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,founder_gene_exchange_probability,founder_gene_exchange_fraction,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_gene_exchange_probability,final_std_gene_exchange_probability,final_mean_gene_exchange_fraction,final_std_gene_exchange_fraction,final_mean_generation,final_max_generation
0,74,True,711,36,0,0.0,0.15,0.25,0.2,0.7,0.35,0.45,,,,,,,,,,,,,,
0,75,True,1193,115,0,0.0,0.65,0.35,0.95,0.45,0.45,0.15,,,,,,,,,,,,,,
0,76,True,1108,67,0,0.0,0.5,0.3,0.15,0.25,0.45,0.35,,,,,,,,,,,,,,
0,77,True,380,29,0,0.0,1.0,0.45,1.0,0.3,0.15,0.15,,,,,,,,,,,,,,
0,78,True,1066,64,0,0.0,0.0,0.85,0.7,0.2,0.95,0.475,,,,,,,,,,,,,,
0,79,True,1847,437,0,0.0,0.95,0.1,0.0,0.55,0.35,0.45,,,,,,,,,,,,,,
0,80,True,34,1,0,0.0,0.35,0.85,0.65,0.05,0.25,0.175,,,,,,,,,,,,,,
0,81,True,402,31,0,0.0,0.9,0.1,0.25,0.3,0.3,0.225,,,,,,,,,,,,,,
0,82,True,724,25,0,0.0,0.35,0.15,0.3,0.5,0.15,0.375,,,,,,,,,,,,,,
0,83,True,2325,372,0,0.0,0.0,0.65,0.6,0.15,0.7,0.2,,,,,,,,,,,,,,
0,84,True,160,2,0,0.0,0.55,0.65,0.3,0.95,0.75,0.275,,,,,,,,,,,,,,
0,85,True,1189,169,0,0.0,0.55,0.6,0.85,0.45,0.8,0.125,,,,,,,,,,,,,,
0,86,True,1406,373,0,0.0,0.75,0.3,0.15,0.45,0.55,0.45,,,,,,,,,,,,,,
0,87,True,192,3,0,0.0,0.2,0.9,0.35,1.0,0.15,0.175,,,,,,,,,,,,,,
0,88,True,652,22,0,0.0,0.8,0.55,1.0,0.95,0.7,0.175,,,,,,,,,,,,,,
0,89,True,378,21,0,0.0,0.8,0.35,0.7,0.15,0.15,0.0,,,,,,,,,,,,,,
0,90,True,31,1,0,0.0,0.8,0.8,0.05,0.1,0.0,0.25,,,,,,,,,,,,,,
0,91,True,2156,536,0,0.0,0.15,0.65,0.05,0.25,0.75,0.35,,,,,,,,,,,,,,
0,92,True,278,51,0,0.0,0.85,0.6,0.95,0.1,0.1,0.1,,,,,,,,,,,,,,
0,93,True,663,51,0,0.0,0.85,0.45,0.9,0.85,0.15,0.25,,,,,,,,,,,,,,
0,94,True,1147,362,0,0.0,0.4,0.7,0.2,0.1,0.2,0.3,,,,,,,,,,,,,,
0,95,True,625,27,0,0.0,0.75,0.2,0.6,0.95,1.0,0.5,,,,,,,,,,,,,,
0,96,True,416,9,0,0.0,0.35,0.35,0.35,0.7,0.15,0.125,,,,,,,,,,,,,,
0,97,True,1013,133,0,0.0,0.3,0.3,0.85,0.0,0.85,0.3,,,,,,,,,,,,,,
0,98,False,,22948,33,0.0406905055487053,0.0,0.0,0.35,0.1,0.25,0.325,0.25,0.0246182981958665,0.0106060606060606,0.0204405114594424,0.2878787878787879,0.0639960972180087,0.2348484848484848,0.0260676523243715,0.596969696969697,0.0324256584227768,0.0787878787878788,0.0185876426460383,104.21212121212122,108.0
0,99,True,319,20,0,0.0,0.25,0.5,0.65,0.0,0.75,0.375,,,,,,,,,,,,,,
1,0,True,396,7,0,0.0,0.3,0.15,0.45,0.85,0.85,0.225,,,,,,,,,,,,,,
1,1,True,214,8,0,0.0,1.0,0.3,0.05,0.65,0.45,0.3,,,,,,,,,,,,,,
1,2,True,158,1,0,0.0,0.55,1.0,0.45,0.4,0.65,0.175,,,,,,,,,,,,,,
1,3,True,1600,68,0,0.0,0.5,0.1,0.45,0.95,0.45,0.275,,,,,,,,,,,,,,
1,4,True,467,17,0,0.0,0.9,0.35,0.4,0.7,0.6,0.3,,,,,,,,,,,,,,
1,5,True,38,1,0,0.0,1.0,0.3,0.15,0.6,0.6,0.075,,,,,,,,,,,,,,
1,6,True,223,3,0,0.0,0.0,0.9,0.45,0.65,0.15,0.05,,,,,,,,,,,,,,
1,7,True,690,22,0,0.0,0.65,0.05,0.8,0.4,0.65,0.2,,,,,,,,,,,,,,
1,8,True,230,4,0,0.0,0.85,0.55,0.65,1.0,0.2,0.2,,,,,,,,,,,,,,
1,9,True,939,32,0,0.0,0.25,0.7,1.0,0.95,0.1,0.175,,,,,,,,,,,,,,
1,10,True,317,11,0,0.0,0.5,0.85,0.3,0.8,0.9,0.35,,,,,,,,,,,,,,
1,11,True,4087,2053,0,0.0,0.05,0.85,0.35,0.15,0.8,0.45,,,,,,,,,,,,,,
1,12,True,84,1,0,0.0,0.55,0.8,0.35,0.55,0.9,0.3,,,,,,,,,,,,,,
1,13,True,894,36,0,0.0,0.55,0.4,0.05,0.85,0.6,0.225,,,,,,,,,,,,,,
1,14,True,1302,225,0,0.0,1.0,0.3,0.8,0.7,0.7,0.3,,,,,,,,,,,,,,
1,15,True,339,13,0,0.0,0.75,0.75,0.95,0.75,0.4,0.25,,,,,,,,,,,,,,
1,16,True,191,2,0,0.0,0.75,0.65,0.75,0.6,0.35,0.4,,,,,,,,,,,,,,
1,17,True,3158,933,0,0.0,0.4,0.4,0.85,0.4,1.0,0.425,,,,,,,,,,,,,,
1,18,True,1089,66,0,0.0,0.65,0.25,0.35,0.95,0.35,0.15,,,,,,,,,,,,,,
1,19,True,326,26,0,0.0,0.5,0.15,0.95,0.1,0.85,0.45,,,,,,,,,,,,,,
1,20,True,2610,271,0,0.0,0.45,0.1,0.55,0.75,0.8,0.25,,,,,,,,,,,,,,
1,21,True,325,12,0,0.0,0.45,0.85,0.5,0.7,0.4,0.05,,,,,,,,,,,,,,
1,22,True,153,1,0,0.0,0.45,0.95,0.8,0.9,1.0,0.3,,,,,,,,,,,,,,
1,23,True,164,6,0,0.0,0.9,0.9,0.35,0.6,0.75,0.05,,,,,,,,,,,,,,
1,24,True,756,110,0,0.0,0.4,0.85,0.1,0.9,0.25,0.25,,,,,,,,,,,,,,
1,25,True,822,177,0,0.0,0.9,0.45,0.85,0.55,0.75,0.3,,,,,,,,,,,,,,
1,26,True,252,7,0,0.0,0.25,0.4,1.0,0.25,0.15,0.375,,,,,,,,,,,,,,
1,27,True,516,14,0,0.0,0.2,0.9,0.9,1.0,0.0,0.425,,,,,,,,,,,,,,
1,28,True,335,12,0,0.0,0.1,0.0,0.35,0.65,0.5,0.25,,,,,,,,,,,,,,
1,29,True,2540,491,0,0.0,0.3,0.75,0.25,0.3,0.25,0.225,,,,,,,,,,,,,,
1,30,True,26,1,0,0.0,1.0,0.3,0.05,0.6,0.05,0.175,,,,,,,,,,,,,,
1,31,False,,74389,616,0.7671232876712328,0.25,0.05,0.4,0.25,0.15,0.35,0.265340909090909,0.0595917987838128,0.0155032467532467,0.0254646429664082,0.4736201298701298,0.1010804224495551,0.1656655844155844,0.0716947795377749,0.3027597402597403,0.0638371055225013,0.2228084415584415,0.0622826271365122,110.12987012987011,125.0
1,32,True,1323,50,0,0.0,0.4,0.25,0.35,0.85,0.95,0.25,,,,,,,,,,,,,,
1,33,True,541,60,0,0.0,0.85,0.85,0.1,0.4,0.0,0.4,,,,,,,,,,,,,,
1,34,True,647,50,0,0.0,0.45,0.1,0.65,0.95,1.0,0.35,,,,,,,,,,,,,,
1,35,True,149,8,0,0.0,0.85,0.55,0.95,0.2,0.5,0.075,,,,,,,,,,,,,,
1,36,True,166,8,0,0.0,0.2,0.75,0.4,0.6,0.85,0.25,,,,,,,,,,,,,,
1,37,True,18,1,0,0.0,0.65,0.15,0.5,0.35,0.1,0.0,,,,,,,,,,,,,,
1,38,True,1816,245,0,0.0,0.45,0.55,0.65,0.2,0.05,0.0,,,,,,,,,,,,,,
1,39,True,425,35,0,0.0,0.65,0.7,0.9,0.95,0.8,0.325,,,,,,,,,,,,,,
1,40,True,383,33,0,0.0,0.7,0.4,0.0,0.4,0.35,0.4,,,,,,,,,,,,,,
1,41,True,599,34,0,0.0,0.05,0.0,0.9,0.45,0.7,0.225,,,,,,,,,,,,,,
1,42,False,,33533,61,0.0759651307596513,0.1,0.0,0.3,0.4,0.15,0.05,0.3114754098360656,0.0732128284372544,0.0172131147540983,0.023756355321622,0.3581967213114754,0.073093432162649,0.151639344262295,0.0527654981620691,0.2836065573770492,0.0591755595009181,0.1545081967213115,0.0435391751056371,107.36065573770492,117.0
1,43,True,239,15,0,0.0,0.85,0.85,0.45,0.3,0.1,0.05,,,,,,,,,,,,,,
1,44,True,426,12,0,0.0,0.35,0.8,0.35,0.9,0.1,0.075,,,,,,,,,,,,,,
1,45,True,6778,1959,0,0.0,0.0,0.7,0.55,0.2,0.75,0.45,,,,,,,,,,,,,,
1,46,True,262,7,0,0.0,0.05,0.5,0.75,0.95,0.65,0.325,,,,,,,,,,,,,,
